id,word,stress,num_syllables,lemma
0,румяной,2,3,румяный
1,цифрами,1,3,цифра
2,слугами,1,3,слуга
3,выбирает,3,4,выбирать
4,управдом,3,3,управдом
5,купюру,2,3,купюра
6,чёрта,1,2,черт
7,культурной,2,3,культурный
8,мэрии,1,3,мэрия
9,маркерные,2,4,маркерный
10,красоте,3,3,красота
11,кровавым,2,3,кровавый
12,элиту,2,3,элита
13,параграфе,2,4,параграф
14,юридическому,3,6,юридический
15,сильвии,1,3,сильвия
16,выделению,3,5,выделение
17,переговорах,4,5,переговоры
18,родительский,2,4,родительский
19,прикажите,3,4,приказывать
20,канадских,2,3,канадский
21,обжарить,2,3,обжаривать
22,здоровом,2,3,здоровый
23,репетиторов,3,5,репетитор
24,сокровенным,3,4,сокровенный
25,абхазию,1,4,абхазия
26,моряков,3,3,моряк
27,истребителями,3,6,истребитель
28,нарастающим,3,5,нарастать
29,высотам,2,3,высота
30,пасс,1,1,пасс
31,ссорились,1,3,ссориться
32,жирное,1,3,жирный
33,детина,2,3,детина
34,хроник,1,2,хроника
35,касающееся,2,6,касаться
36,предпосылки,3,4,предпосылка
37,межрегиональных,5,6,межрегиональный
38,воздушной,2,3,воздушный
39,лишив,2,2,лишать
40,оккупации,3,5,оккупация
41,тротуарная,3,5,тротуарный
42,оценила,3,4,оценивать
43,учёных,2,3,ученый
44,диапазоном,4,5,диапазон
45,обратное,2,4,обратный
46,разбитого,2,4,разбивать
47,сброса,1,2,сброс
48,шлейфы,1,2,шлейф
49,ликбез,2,2,ликбез
50,эрмитажа,3,4,эрмитаж
51,каргаполье,3,4,каргаполье
52,происшедшего,3,5,происходить
53,жёстко,1,2,жестко
54,прикуриватель,2,5,прикуриватель
55,ферме,1,2,ферма
56,отводит,2,3,отводить
57,межевание,3,5,межевание
58,кадастровой,2,4,кадастровый
59,волосатую,3,5,волосатый
60,неудобств,3,3,неудобство
61,шампиньонов,3,4,шампиньон
62,крыльцо,2,2,крыльцо
63,броска,2,2,бросок
64,исключается,3,5,исключаться
65,естество,3,3,естество
66,шалаша,3,3,шалаш
67,подмену,2,3,подмена
68,ручках,1,2,ручка
69,осиповичи,3,5,осиповичи
70,освещать,3,3,освещать
71,алексеев,3,4,алексеев
72,согласию,2,4,согласие
73,гражданская,2,4,гражданский
74,настройками,2,4,настройка
